month,avg_rides,avg_temp
1,255.78091397849462,-3.777778
2,283.4002976190476,-1.777778
3,347.68548387096774,3.88889
4,592.4861111111111,9.833333
5,812.9395161290323,15.88889
6,999.4694444444444,21.44444
7,1031.7876344086021,24.11111
8,1037.2217741935483,23.22222
9,925.5152777777778,19.05556
10,721.9260752688172,12.2222
11,503.4972222222222,5.166667
12,301.1733870967742,-0.8333333
